Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
ForEdSnowden,FR,1065,4063,51.15.133.16,16-133-15-51.rev.cloud.scaleway.com,9001,None,0,0,1,1,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2017-02-22,AS12876- FR,12876,3120,None
ForJusticeDammit,DE,10618,493,5.9.68.49,hiball.koshaq.net,8443,8080,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2018-07-07,HETZNER-AS- DE,24940,27000,None
forTheLoveOfHotDogs,FR,3946,343,46.105.227.109,46.105.227.109,443,80,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-09-30,OVH- FR,16276,19500,None
FortyTwo,US,50,265,184.97.135.208,184-97-135-208.stpl.qwest.net,9010,9030,0,0,1,0,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-10-03,CENTURYLINK-US-LEGACY-QWEST - CenturyLink Communications- LLC- US,209,188,None
fossencdidoestor,DE,410,4183,62.141.52.185,fossencdi.org,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.16 on Linux,0,0,2015-12-01,KEYWEB-AS- DE,31103,958,[2001:1b60:2:4:2845:104:0:1]:9001
foucault,FR,7,56,51.15.113.79,79-113-15-51.rev.cloud.scaleway.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-01-28,AS12876- FR,12876,5950,None
fox,NL,525,206,46.23.92.183,46-23-92-183.openbsd.amsterdam,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on OpenBSD,0,0,2019-09-22,XS4ALL-NL Amsterdam- NL,3265,1900,[2a03:6000:9213::183]:443
FoxDen,FR,0,530,90.119.122.180,lfbn-lyo-1-540-180.w90-119.abo.wanadoo.fr,9001,None,0,0,0,0,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2019-09-07,France Telecom - Orange- FR,3215,16,None
fpuzhpx,US,0,418,23.92.19.230,plover.com,9001,9030,0,0,0,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-01-06,LINODE-AP Linode- LLC- US,63949,16,None
fr00t,CA,911,59,156.57.130.62,hlfxns016cw-156-57-130-62.dhcp-dynamic.fibreop.ns.bellaliant.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-09-23,CANET-ASN-4 - Bell Canada- CA,855,5690,None
fr0akatala,FR,6278,656,176.31.163.89,fr.katalevich.cz,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.4.1.5 on Linux,0,0,2017-05-31,OVH- FR,16276,17000,[2001:41d0:302:2100::868c]:9001
